Rate,Weight,Time,ell,p
0.08,0.039439999999999996,0.002324674927173126,0.000258065674,4.59300905e-05
0.081,0.039923999999999994,0.002383501051660829,0.000268169191,4.79076415e-05
0.082,0.040408,0.002443081464762735,0.000278148392,4.98503809e-05
0.083,0.040892,0.0025034042575738853,0.000289660788,5.21432962e-05
0.084,0.041376,0.0025644779083759286,0.000295287504,5.31861185e-05
0.085,0.04186,0.0026262878222599283,0.000301296357,5.43665557e-05
0.086,0.04234399999999999,0.002688854225377345,0.000315210698,5.71592182e-05
0.087,0.042828,0.0027521707846590786,0.000319813675,5.80138693e-05
0.088,0.043311999999999996,0.0028162347344618402,0.000332172134,6.04926288e-05
0.089,0.043796,0.0028810483183724675,0.000342404061,6.25386087e-05
0.09,0.04428,0.0029466153537270182,0.000351284859,6.4293182e-05
0.091,0.044772,0.0030129309321383605,0.000362248479,6.65025262e-05
0.092,0.045264,0.0030800006092564997,0.000373158815,6.86979983e-05
