Rate,Weight,Time
0.19,0.09253,0.013743982014544482
0.191,0.092997,0.013895985107989547
0.192,0.09346399999999999,0.01404798820143458
0.193,0.093931,0.014199991294879647
0.194,0.094398,0.014351994388324678
0.195,0.09486499999999999,0.014503997481769748
0.196,0.095332,0.01465600057521478
0.197,0.095799,0.014808003668659848
0.198,0.09626599999999999,0.01496000676210488
0.199,0.09673299999999999,0.01511200985554995
0.2,0.0972,0.01526401294899498
0.201,0.097686,0.01541601604244005
0.202,0.098172,0.01556801913588508
0.203,0.098658,0.015720022229330152
0.204,0.09914399999999998,0.01587202532277518
0.205,0.09963,0.016024028416220228
0.206,0.100116,0.016219859353158873
0.207,0.100602,0.016389784354601186
0.208,0.101088,0.0165597093560435
0.209,0.101574,0.016729634357485812
0.21,0.10206,0.016899559358928125
0.211,0.10252399999999999,0.017069484360370434
0.212,0.102988,0.017239409361812747
0.213,0.10345199999999999,0.01740933436325506
0.214,0.103916,0.01757925936469737
0.215,0.10437999999999999,0.017749184366139682
0.216,0.10484399999999999,0.017919109367581995
0.217,0.10530799999999998,0.018089034369024308
0.218,0.10577199999999999,0.01825895937046662
0.219,0.10623599999999998,0.018428884371908934
0.22,0.10669999999999999,0.018598809373351247
0.221,0.107162,0.018768734374793556
0.222,0.10762399999999998,0.01893865937623587
0.223,0.10808599999999999,0.019108584377678182
0.224,0.10854799999999999,0.019278509379120495
0.225,0.10901,0.019448434380562808
0.226,0.109472,0.019618359382005117
0.227,0.10993399999999999,0.01978828438344743
0.228,0.110396,0.019958209384889743
0.229,0.110858,0.020128134386332056
0.23,0.11132,0.02037890632203111
0.231,0.11178,0.020571551399973523
0.232,0.11224,0.0207641964779159
0.233,0.11270000000000001,0.020956841555858315
0.234,0.11316000000000001,0.021149486633800695
0.235,0.11362,0.02134213171174311
0.236,0.11407999999999999,0.021534776789685486
0.237,0.11453999999999999,0.021727421867627897
0.238,0.11499999999999999,0.02192006694557029
0.239,0.11546,0.02211271202351269
0.24,0.11592,0.022305357101455085
0.241,0.116378,0.022498002179397483
0.242,0.116836,0.022690647257339876
