Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.057,0.027777777777777776,0.0011175735431248545,0.00049342385,0.000102344611,1.3851486390000004e-05,7.541388525000002e-06,8.67877636e-05,7.23903135e-05,3.824285423e-05,0.0277774123
0.058,0.027777777777777776,0.0011566595542636304,0.00051303496,0.000106568217,1.785394791e-05,9.740984076e-06,8.56477826e-05,7.18664477e-05,3.7867713650000004e-05,0.0277540521
0.059,0.02857142857142857,0.0011961491348502582,0.000549628842,0.000114997526,1.573681298e-05,8.316625098e-06,9.66729734e-05,8.10710238e-05,4.317965282e-05,0.0285713491
0.06,0.02857142857142857,0.0012364438376893927,0.000567300612,0.000118669663,1.9961511200000005e-05,1.0703453598000002e-05,9.36597471e-05,7.995934394999999e-05,4.243549460499999e-05,0.0285680171
0.061,0.029411764705882353,0.0012773788438210738,0.000592503625,0.000124465356,1.987767992e-05,1.0722001391000001e-05,0.000101584603,8.49276637e-05,4.511721692e-05,0.0293876058
0.062,0.029411764705882353,0.0013187742705357895,0.000612910883,0.000128934448,2.6730702600000003e-05,1.4056905851000002e-05,9.7693685e-05,8.17724725e-05,4.37213751e-05,0.0294112692
0.063,0.030303030303030304,0.0013611906995659143,0.000646261542,0.000136657119,2.4149311e-05,1.3162988619999999e-05,0.000108941121,9.089695409999999e-05,4.825340927e-05,0.0302928923
0.064,0.030303030303030304,0.0014037790774825841,0.000658226092,0.000138842678,2.97087878e-05,1.611301636e-05,0.000104527962,8.72375129e-05,4.631658258e-05,0.0303015228
0.065,0.03125,0.0014476788707271173,0.000702784144,0.000149572728,2.7312256899999997e-05,1.4869133949999999e-05,0.000118263775,9.857950150000001e-05,5.247220428e-05,0.0311316895
0.066,0.03125,0.0014914781237858159,0.000713118138,0.000151344927,3.30171155e-05,1.773465731e-05,0.000113323723,9.44370189e-05,5.042524697e-05,0.0312465672
0.067,0.03225806451612903,0.0015365102662868023,0.000764071296,0.000163710814,2.5360313849999993e-05,1.3816403934999996e-05,0.000132888103,0.00011236800170000001,6.0000052640000006e-05,0.0322579736
0.068,0.03225806451612903,0.0015818346908629548,0.000780900675,0.000167111442,3.6296649799999994e-05,1.9630991369999998e-05,0.00012491471,0.00010435765690000002,5.5747153800000005e-05,0.0322580086
0.069,0.03333333333333333,0.0016280012580493532,0.000829044144,0.000178738185,2.87753855e-05,1.545426538e-05,0.000145979222,0.0001216446948,6.536142882e-05,0.0333296411
0.07,0.03333333333333333,0.0016748687391280456,0.000848367497,0.000182878597,3.67742025e-05,1.959837947e-05,0.000139440048,0.00011707868510000001,6.301721997e-05,0.0333038326
0.071,0.034482758620689655,0.0017219479137610659,0.000877963765,0.00018984956,2.63728693e-05,1.4096324597e-05,0.000158655916,0.0001334459951,7.190971555000001e-05,0.034478249
0.072,0.034482758620689655,0.0017703907844447014,0.000911497824,0.000197511447,3.7712331999999996e-05,1.9914532599999998e-05,0.000154140674,0.0001285225588,6.957101192000001e-05,0.034482432
0.073,0.034482758620689655,0.0018188589255503248,0.000921157701,0.000199027429,4.63904961e-05,2.4820347950000002e-05,0.000145359983,0.00012121997309999999,6.537840599e-05,0.0344827305
0.074,0.03571428571428571,0.0018683033679224006,0.00097269021,0.000211598694,3.40790348e-05,1.8195720310000002e-05,0.000170886929,0.0001441044566,7.7981839e-05,0.0357023132
0.075,0.03571428571428571,0.0019185180201383729,0.00102126553,0.000223272573,4.612863519999999e-05,2.5306927969999994e-05,0.000168705142,0.0001416722056,7.60508373e-05,0.0356798099
0.076,0.03571428571428571,0.001968621539260132,0.00104863893,0.000229098216,5.30716799e-05,2.900257193e-05,0.000164518846,0.000139705981,7.509483001999999e-05,0.0357130758
0.077,0.037037037037037035,0.0020203350427839516,0.00109086129,0.000239524319,4.258204339999999e-05,2.2946562139999995e-05,0.000189374941,0.0001590467485,8.619226246e-05,0.0370367472
0.078,0.037037037037037035,0.0020723768582204174,0.00113006207,0.000248609437,5.29578271e-05,2.880367898e-05,0.000185434911,0.0001562373668,8.445674305000001e-05,0.0370008726
0.079,0.037037037037037035,0.0021243184351687643,0.00114971322,0.000252634969,6.253300339999999e-05,3.3618659499999996e-05,0.000178393725,0.0001500938267,8.145639497e-05,0.0370367582
0.08,0.038461538461538464,0.00217817539461251,0.0012125839,0.000268396423,4.89283143e-05,2.655217606e-05,0.000211861075,0.0001770196974,9.612376075e-05,0.0384605179
0.081,0.038461538461538464,0.0022321674871155646,0.00124071694,0.000274740587,5.990214619999998e-05,3.293484260999999e-05,0.000203981303,0.0001713108694,9.255841809e-05,0.0384603934
0.082,0.038461538461538464,0.002286096365536211,0.00127778639,0.000283182909,7.260906359999999e-05,4.002902412999999e-05,0.000198164386,0.0001657264413,8.939030769000001e-05,0.038461517
0.083,0.04,0.0023417315956733324,0.00132475117,0.000294929355,5.084262330000001e-05,2.7467346940000007e-05,0.000234340728,0.0001975068921,0.00010774456236,0.0399999271
0.084,0.04,0.0023978570342824534,0.00136116427,0.000303197594,6.149181050000001e-05,3.402206676000001e-05,0.000228743366,0.0001938146958,0.00010501940866,0.0399986225
0.085,0.04,0.0024539604380788794,0.0013946911,0.000310906742,7.71552375e-05,4.197317418e-05,0.000220297568,0.0001845999629,0.00010060508823,0.0399999844
0.086,0.041666666666666664,0.0025108484989178684,0.0014354357,0.000320829976,5.225799710000002e-05,2.8993817940000007e-05,0.000259748364,0.00021822488079999998,0.00011878732098999999,0.0416663851
0.087,0.041666666666666664,0.002569274290702645,0.00147928356,0.000331105824,6.318848570000001e-05,3.4505200850000005e-05,0.000254463375,0.0002158657677,0.00011796984684999999,0.0416661217
0.088,0.041666666666666664,0.002627610009596305,0.00153065419,0.000343450767,7.927226109999999e-05,4.317345632e-05,0.000249217956,0.0002100634903,0.00011494755977,0.0416665385
0.089,0.041666666666666664,0.0026860634296130264,0.00156558354,0.000351317833,9.487682810000001e-05,5.1856094870000005e-05,0.000240950477,0.0002011431245,0.00010992267359,0.0416632997
0.09,0.043478260869565216,0.0027460159390136933,0.00166701978,0.000377928692,6.9169345e-05,3.8051461270000005e-05,0.000297887029,0.00024918239549999997,0.00013659055204999997,0.0434766188
0.091,0.043478260869565216,0.002806906364051779,0.0016824858,0.000380439618,7.973754700000001e-05,4.394785582e-05,0.000286483919,0.000240891773,0.000131927364,0.0434781839
0.092,0.043478260869565216,0.0028678663732894898,0.00172967899,0.000391692715,9.523248779999999e-05,5.265425480999999e-05,0.000279579034,0.0002347820061,0.00012836980635,0.0434766565
0.093,0.043478260869565216,0.002928912552013516,0.00180479037,0.00041045365,0.00010960210380000002,6.071861658000001e-05,0.000280017377,0.00023590776789999998,0.00012887087665,0.043478207
0.094,0.045454545454545456,0.00299125356715171,0.00184912064,0.000421553448,7.507537270000001e-05,4.1419015360000006e-05,0.000333644793,0.0002803682795,0.00015432489964999999,0.0454529187
0.095,0.045454545454545456,0.00305494378705126,0.0018929911,0.000431927567,9.283202929999998e-05,5.165608346999999e-05,0.000322149898,0.000271283727,0.0001488804738,0.045450841
0.096,0.045454545454545456,0.0031186237427056956,0.0019330984,0.000441119299,0.0001066656622,5.925485356e-05,0.000315784423,0.00026520984449999996,0.00014554377765,0.0454519181
0.097,0.045454545454545456,0.0031823466577555904,0.00196612487,0.000448382619,0.0001197823898,6.615504026e-05,0.000305950932,0.000258256748,0.0001420531193,0.045452447
0.098,0.047619047619047616,0.0032462907223652845,0.00206832413,0.000475521226,7.868307279999999e-05,4.413247481999999e-05,0.000382305976,0.000322437917,0.00017769968359999998,0.0476182254
0.099,0.047619047619047616,0.003313030518145553,0.00209976683,0.000482235479,9.946662019999999e-05,5.532128654999999e-05,0.000367879632,0.000307544737,0.00016977608970000001,0.0476188227
0.1,0.047619047619047616,0.0033796979737079286,0.00216748849,0.000499026497,0.00011515585350000002,6.417608081000001e-05,0.000364017071,0.0003057564275,0.00016865758575,0.0476174681
0.101,0.047619047619047616,0.0034464108412641547,0.00220897311,0.00050856243,0.0001325814716,7.393636669e-05,0.000353050239,0.0002964046625,0.00016338057775,0.0476190304
