Rate,Weight,Time,ell,p,p_x,p_y,N
0.164,0.078228,0.008948601778493792,0.0081266,0.00203025,0.001739495,0.0010215275,0.078228
0.165,0.07870500000000001,0.009057130188630566,0.00830437,0.00207893,0.001781325,0.0010471425,0.07870500000000001
0.166,0.07918200000000002,0.009166344688955028,0.00841524,0.00210698,0.00180628,0.00106271,0.07918200000000002
0.167,0.07965900000000001,0.00927624184645353,0.00856859,0.00214813,0.0018420049999999999,0.0010847625,0.07965900000000001
0.168,0.08013600000000001,0.009386940744971244,0.00865972,0.00217002,0.00186196,0.00109734,0.08013600000000001
0.169,0.080613,0.009498415089080905,0.00900714,0.00227159,0.0019471850000000001,0.0011492425000000001,0.080613
0.17,0.08109000000000001,0.009610042317893329,0.00898843,0.0022591,0.00193909,0.001144925,0.08109000000000001
0.171,0.08156700000000001,0.009722629036747333,0.00910572,0.00228876,0.00196561,0.001161605,0.08156700000000001
0.172,0.082044,0.009835925148503835,0.00930868,0.00234526,0.00201408,0.0011914900000000001,0.082044
0.173,0.082521,0.009949964193517253,0.00951801,0.00240366,0.0020642100000000004,0.0012224550000000001,0.082521
0.174,0.082998,0.010064523376141728,0.0096078,0.00242466,0.00208372,0.0012349099999999999,0.082998
0.175,0.08347500000000001,0.010179849867462318,0.00973554,0.0024575,0.00211296,0.00125328,0.08347500000000001
0.176,0.08395200000000001,0.01029592388571425,0.00995985,0.00252062,0.00216704,0.00128675,0.08395200000000001
0.177,0.084429,0.010412637083207762,0.01006714,0.00254708,0.00219107,0.0013018749999999999,0.084429
0.178,0.08490600000000001,0.010529945676554343,0.01024536,0.00259534,0.00223322,0.00132832,0.08490600000000001
0.179,0.08538300000000001,0.010648076403954293,0.01036184,0.00262461,0.002259615,0.0013449475,0.08538300000000001
0.18,0.08586,0.010766811020865592,0.01055984,0.00267925,0.002306975,0.0013745175000000002,0.08586
0.181,0.086356,0.01088621283672721,0.0107116,0.0027191,0.00234238,0.0013969299999999998,0.086356
0.182,0.08685200000000001,0.011006339998128199,0.0108707,0.0027614,0.00237975,0.001420555,0.08685200000000001
0.183,0.08734800000000001,0.011127192330188673,0.01099012,0.00279112,0.00240683,0.001437785,0.08734800000000001
0.184,0.087844,0.01124864696289012,0.01118539,0.00284456,0.0024535299999999998,0.0014672049999999999,0.087844
0.185,0.08834000000000002,0.011370843969897657,0.01140313,0.00290522,0.0025061600000000003,0.0015002300000000002,0.08834000000000002
0.186,0.08883600000000001,0.011493763628456478,0.01150884,0.00293037,0.0025296349999999997,0.0015154175,0.08883600000000001
0.187,0.08933200000000001,0.011617553163046107,0.01186073,0.00303389,0.0026174650000000002,0.0015701525000000002,0.08933200000000001
0.188,0.089828,0.01174173812398855,0.01192199,0.00304489,0.002629345,0.0015783325,0.089828
0.189,0.09032400000000002,0.011866604362654474,0.01206844,0.00308226,0.0026632599999999998,0.00159991,0.09032400000000002
0.19,0.09082000000000001,0.011992284618433543,0.01233821,0.00315921,0.0027296250000000003,0.0016417125000000002,0.09082000000000001
0.191,0.091258,0.012118676923348283,0.01243151,0.00318018,0.00274971,0.0016546949999999999,0.091258
0.192,0.09169600000000001,0.012245849128375699,0.01256788,0.00321489,0.002781095,0.0016746175,0.09169600000000001
0.193,0.09213400000000001,0.012373550272042039,0.01275691,0.00326582,0.00282614,0.0017033299999999999,0.09213400000000001
0.194,0.092572,0.012501936377011766,0.01294847,0.00331744,0.00287183,0.0017324950000000001,0.092572
0.195,0.09301000000000001,0.012631119628672803,0.01310751,0.00335886,0.00290905,0.0017563049999999999,0.09301000000000001
0.196,0.093448,0.012760949857665497,0.01333512,0.00342222,0.00296437,0.001791315,0.093448
0.197,0.09388600000000001,0.012891537761048129,0.01359218,0.00349497,0.0030275149999999997,0.0018312275,0.09388600000000001
0.198,0.094324,0.013022777166033528,0.01373547,0.00353123,0.003060605,0.0018525525,0.094324
0.199,0.094762,0.01315473535268407,0.01393622,0.00358575,0.0031088549999999998,0.0018833175,0.094762
0.2,0.0952,0.01328742603561874,0.01411575,0.00363351,0.003151525,0.0019106525,0.0952
0.201,0.09571800000000001,0.013420865835267026,0.0142938,0.00368036,0.00319387,0.001938105,0.09571800000000001
0.202,0.096236,0.013555027355151687,0.0145249,0.00374444,0.0032503999999999996,0.0019743499999999997,0.096236
0.203,0.096754,0.013689905581220716,0.01482582,0.00383095,0.003325555,0.0020222575,0.096754
0.204,0.097272,0.013825558260079578,0.01493802,0.00385672,0.0033505,0.00203878,0.097272
0.205,0.09778999999999999,0.013961848784177125,0.0150841,0.00389267,0.0033842250000000003,0.0020612325000000003,0.09778999999999999
0.206,0.09830799999999999,0.0140988541027583,0.01548825,0.00401269,0.0034871750000000003,0.0021265275,0.09830799999999999
0.207,0.098826,0.014236518234956197,0.01570158,0.0040703,0.00353894,0.00216027,0.098826
0.208,0.09934399999999999,0.014375083282072904,0.01596768,0.0041457,0.0036051300000000002,0.002202885,0.09934399999999999
0.209,0.09986199999999999,0.01451407118887445,0.01607157,0.00416743,0.003627445,0.0022181825,0.09986199999999999
0.21,0.10038,0.014654036808498607,0.01636461,0.00425132,0.00370087,0.002265425,0.10038
0.211,0.100858,0.014795105061788471,0.01664358,0.00433219,0.003771015,0.0023105375,0.100858
0.212,0.101336,0.01493591538885803,0.01675171,0.00435354,0.00379379,0.002326105,0.101336
0.213,0.101814,0.015078019152574711,0.01701212,0.0044266,0.00385838,0.00236782,0.101814
0.214,0.102292,0.015220865918879608,0.01704937,0.00442604,0.00386244,0.00237179,0.102292
0.215,0.10277,0.015364241767805738,0.01746457,0.00454942,0.00396889,0.002440025,0.10277
0.216,0.10324799999999999,0.01550847630882142,0.01769913,0.00461353,0.004026445,0.0024775925,0.10324799999999999
0.217,0.103726,0.01565347290705825,0.01794726,0.00468214,0.00408774,0.0025175500000000003,0.103726
0.218,0.10420399999999999,0.015799166877945928,0.01815629,0.00473766,0.004138360000000001,0.0025508300000000005,0.10420399999999999
0.219,0.10468199999999998,0.015945667582460576,0.01840117,0.00480517,0.004198835,0.0025902575,0.10468199999999998
0.22,0.10515999999999999,0.016092824410921074,0.01862599,0.00486559,0.004253715,0.0026264375,0.10515999999999999
0.221,0.10566099999999999,0.016240774948875582,0.01893437,0.00495356,0.00433152,0.00267716,0.10566099999999999
