Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.086,0.041666666666666664,0.002542653598343614,0.00202522357,0.000281725732,4.73850516e-05,2.3939339187e-05,0.000221998754,0.00017425216740000001,8.836632158e-05,0.0416259851
0.087,0.041666666666666664,0.0026019334384363418,0.00213639257,0.000298932676,6.122914640000001e-05,3.097942584800001e-05,0.000220502536,0.0001736284765,8.803230503e-05,0.0416635208
0.088,0.041666666666666664,0.0026612233517227645,0.00211127174,0.000294352432,7.52408094e-05,3.8020351342e-05,0.000203508877,0.0001558080728,7.8681896606e-05,0.0416259764
0.089,0.043478260869565216,0.0027210470623332816,0.00221430727,0.000312529237,4.996173340000001e-05,2.5363904505000003e-05,0.000250657029,0.0001946622759,9.8304719128e-05,0.0434721835
0.09,0.043478260869565216,0.0027826451178354413,0.00227518282,0.000322294503,5.8330343099999995e-05,2.9568320524999997e-05,0.000247536304,0.0001935563469,9.764217226199999e-05,0.0434705932
0.091,0.043478260869565216,0.002844502393391787,0.00229338367,0.000323927133,7.114542890000001e-05,3.591130060700001e-05,0.000235184147,0.00018229162239999998,9.209920388199999e-05,0.0434753847
0.092,0.043478260869565216,0.0029064546858480517,0.00246805702,0.0003524974,8.388268709999999e-05,4.2390525669999994e-05,0.000244747178,0.0001913753093,9.678291823e-05,0.0434745298
0.093,0.045454545454545456,0.002968939267027418,0.00248237765,0.000356720059,5.475645680000002e-05,2.767124894300001e-05,0.00028662682,0.0002231295551,0.00011268224713,0.0454543958
0.094,0.045454545454545456,0.003033599678120953,0.00253713176,0.000364126978,6.81995001e-05,3.4523781259e-05,0.000277788734,0.0002163443286,0.00010965985242,0.0454491855
0.095,0.045454545454545456,0.0030988355129799015,0.00257023429,0.000369554895,8.81279818e-05,4.4542332207e-05,0.00026465077,0.00019991575990000002,0.00010088445580100002,0.0454528103
0.096,0.045454545454545456,0.0031632853310771623,0.0026119248,0.000375529065,9.03413037e-05,4.5686845117e-05,0.000263077463,0.0002018264542,0.000101705152656,0.045453661
0.097,0.045454545454545456,0.003227773575889196,0.00262009853,0.000374597161,0.0001022684236,5.1822312036e-05,0.000245181981,0.0001900250298,9.5823244562e-05,0.0454545033
0.098,0.047619047619047616,0.003294965528187986,0.00282894533,0.000413096436,7.37520053e-05,3.7415395525e-05,0.000318907925,0.0002477475176,0.00012547442574000002,0.0476151043
0.099,0.047619047619047616,0.003363108097059346,0.0028941747,0.000423805755,9.00155805e-05,4.5405290483999996e-05,0.00031061243,0.0002385090567,0.00012032850074,0.0476190293
