Rate,Weight,Time,ell,p,i,N
0.096,0.045454545454545456,0.0033590215255168638,0.000412346969,7.61775995e-05,2.90667609e-05,0.0454545455
0.097,0.047619047619047616,0.0034302780203013614,0.000427894711,7.97143577e-05,3.60858448e-05,0.0476190476
0.098,0.047619047619047616,0.003502974496251393,0.000424657985,7.88394264e-05,3.40653466e-05,0.0476190476
0.099,0.047619047619047616,0.0035756960598617624,0.000452211776,8.45185433e-05,3.48195236e-05,0.0476190476
0.1,0.047619047619047616,0.0036484145821403836,0.000456824788,8.52043259e-05,3.35386315e-05,0.0476190476
0.101,0.047619047619047616,0.0037212245213802124,0.000444814045,8.24256552e-05,3.01677458e-05,0.0476190476
0.102,0.05,0.003796674271951354,0.00047886553,9.00849133e-05,4.02688879e-05,0.05
0.103,0.05,0.0038732743866064677,0.000495864196,9.35351503e-05,3.9812813e-05,0.05
0.104,0.05,0.003949887659921043,0.000509687779,9.62669816e-05,3.90182787e-05,0.05
0.105,0.05,0.004026461068661198,0.000510231303,9.60982767e-05,3.74187361e-05,0.05
0.106,0.05,0.004103051618509583,0.000521068743,9.81803523e-05,3.67594255e-05,0.05
0.107,0.05263157894736842,0.004181252932788022,0.000547289867,0.000104455706,4.74772436e-05,0.0526315789
0.108,0.05263157894736842,0.004262168708520027,0.00055247902,0.000105268559,4.56957632e-05,0.0526315789
0.109,0.05263157894736842,0.004343075626295592,0.000559694362,0.000106581244,4.43490576e-05,0.0526315789
0.11,0.05263157894736842,0.004423994904121118,0.000575662211,0.00010977885,4.3757962e-05,0.0526315789
0.111,0.05263157894736842,0.004504897603295403,0.000585622,0.000111705024,4.26492307e-05,0.0526315789
0.112,0.05263157894736842,0.004585835372517921,0.000615141626,0.000117980727,4.28502988e-05,0.0526315789
0.113,0.05555555555555555,0.004668779523999985,0.000609509209,0.000117293341,5.29312533e-05,0.0555555556
0.114,0.05555555555555555,0.004754521000126025,0.000628812653,0.000121271099,5.25501723e-05,0.0555555556
0.115,0.05555555555555555,0.004840300131594695,0.000642713088,0.000124087137,5.09572314e-05,0.0555555556
0.116,0.05555555555555555,0.004926058689091567,0.000651626644,0.000125672135,5.08305181e-05,0.0555555556
0.117,0.05555555555555555,0.005011774623519091,0.000666669067,0.000128730832,4.9570906e-05,0.0555555556
0.118,0.05555555555555555,0.0050975220040845315,0.000690758914,0.000133868199,4.87220421e-05,0.0555555556
0.119,0.05555555555555555,0.005183245621891849,0.00069976781,0.000135555179,4.76862873e-05,0.0555555556
0.12,0.058823529411764705,0.005273225231293084,0.000721257373,0.000141184063,6.25810494e-05,0.0588235294
0.121,0.058823529411764705,0.005364425276812518,0.000734062979,0.000143763711,6.10090418e-05,0.0588235294
0.122,0.058823529411764705,0.005455635379426213,0.000754157875,0.000147925427,6.064452e-05,0.0588235294
0.123,0.058823529411764705,0.005546824114416376,0.000764003262,0.000149856229,5.87171708e-05,0.0588235294
0.124,0.058823529411764705,0.005638017982438188,0.000777437745,0.000152514498,5.81032684e-05,0.0588235294
0.125,0.058823529411764705,0.005729229824941846,0.000788841275,0.000154708978,5.64899798e-05,0.0588235294
0.126,0.058823529411764705,0.00582041964373763,0.000807133537,0.000158530709,5.57547407e-05,0.0588235294
0.127,0.0625,0.005913457563264514,0.000820793357,0.00016269894,7.3483801e-05,0.0625
0.128,0.0625,0.0060108847426977585,0.000838740196,0.000166368921,7.21949855e-05,0.0625
0.129,0.0625,0.006108260693440335,0.00084576259,0.000167661561,7.03838456e-05,0.0625
0.13,0.0625,0.0062056554890237625,0.000878928272,0.000174928817,7.06621515e-05,0.0625
0.131,0.0625,0.006303052130827281,0.000890885253,0.0001772657,6.8752185e-05,0.0625
0.132,0.0625,0.006400456151899912,0.000908023982,0.000180817217,6.74482977e-05,0.0625
0.133,0.0625,0.006497858994806553,0.000927870762,0.000184993218,6.65291986e-05,0.0625
0.134,0.0625,0.006595250453412734,0.000929914956,0.000185064824,6.41485336e-05,0.0625
0.135,0.0625,0.006692638985037436,0.000955438953,0.000190570991,6.36941344e-05,0.0625
0.136,0.06666666666666667,0.006795897089721773,0.000976542236,0.00019687899,8.69452812e-05,0.0666666667
0.137,0.06666666666666667,0.006900398402870184,0.000999807511,0.000201947222,8.54612171e-05,0.0666666667
0.138,0.06666666666666667,0.007004894469824899,0.00101272662,0.000204505597,8.38667899e-05,0.0666666667
0.139,0.06666666666666667,0.007109414942848639,0.00103272131,0.00020870948,8.2844389e-05,0.0666666667
0.14,0.06666666666666667,0.007213906403648647,0.00104968742,0.000212287995,8.10189335e-05,0.0666666667
0.141,0.06666666666666667,0.0073184209311260235,0.00106072754,0.000214403171,7.89890139e-05,0.0666666667
0.142,0.06666666666666667,0.007422922074080678,0.00107573687,0.000217476478,7.74963527e-05,0.0666666667
0.143,0.06666666666666667,0.007527432005688683,0.00110817049,0.000224636242,7.77409025e-05,0.0666666667
0.144,0.06666666666666667,0.007631930821038203,0.00111435638,0.000225652436,7.47697321e-05,0.0666666667
0.145,0.07142857142857142,0.007737636934682206,0.00114062,0.00023378,0.0001048,0.07142857
0.146,0.07142857142857142,0.007850374881255501,0.00116273,0.00023856,0.00010342,0.07142857
0.147,0.07142857142857142,0.00796311924544221,0.00118165,0.00024255,0.0001017,0.07142857
0.148,0.07142857142857142,0.008075867860533568,0.00118672517,0.000243271292,9.84401802e-05,0.0714285714
0.149,0.07142857142857142,0.008188595425551387,0.00122838809,0.000252756665,9.88650166e-05,0.0714285714
0.15,0.07142857142857142,0.00830133230396921,0.00124170398,0.000255419131,9.67385866e-05,0.0714285714
0.151,0.07142857142857142,0.008414062908485231,0.00126306295,0.0002600122,9.53472449e-05,0.0714285714
0.152,0.07142857142857142,0.00852680214186561,0.00128709813,0.000265249159,9.42480291e-05,0.0714285714
0.153,0.07142857142857142,0.00863954284985786,0.00130487842,0.000268995894,9.22056086e-05,0.0714285714
0.154,0.07142857142857142,0.008752285223718601,0.00132952849,0.000274367188,9.12925635e-05,0.0714285714
0.155,0.07142857142857142,0.008865013430570766,0.0013436978,0.000277252716,8.90938551e-05,0.0714285714
0.156,0.07142857142857142,0.008977755936365826,0.00136098234,0.000280854585,8.73605234e-05,0.0714285714
0.157,0.07692307692307693,0.00910005703651146,0.00138243,0.00028866,0.00012539,0.07692308
0.158,0.07692307692307693,0.009222436385023123,0.001409,0.00029461,0.00012367,0.07692308
0.159,0.07692307692307693,0.0093448216186697,0.0014265,0.00029828,0.00012155,0.07692308
0.16,0.07692307692307693,0.009467209837484693,0.00145166,0.00030383,0.00012019,0.07692308
0.161,0.07692307692307693,0.00958959567777145,0.00147647,0.00030933,0.00011837,0.07692308
0.162,0.07692307692307693,0.009711991449366254,0.00148987,0.00031196,0.00011615,0.07692308
0.163,0.07692307692307693,0.00983436825450463,0.00152205,0.00031932,0.00011448,0.07692308
0.164,0.07692307692307693,0.009956759646025921,0.00154058,0.00032322,0.00011259,0.07692308
0.165,0.07692307692307693,0.010079145761931946,0.00156697,0.00032909,0.00011112,0.07692308
0.166,0.07692307692307693,0.010201529183182232,0.00158546,0.00033303,0.00010879,0.07692308
0.167,0.07692307692307693,0.01032392321385227,0.00160385,0.00033694,0.00010649,0.07692308
0.168,0.07692307692307693,0.010446309041095773,0.00163249,0.00034335,0.00010544,0.07692308
0.169,0.07692307692307693,0.010568694892245491,0.00165662,0.00034861,0.00010443,0.07692308
0.17,0.08333333333333333,0.010702438383638328,0.00167683,0.00035735,0.00015396,0.08333333
0.171,0.08333333333333333,0.010836298562787923,0.00169587,0.00036141,0.00015121,0.08333333
0.172,0.08333333333333333,0.010970147020439094,0.00172518,0.00036806,0.00014974,0.08333333
0.173,0.08333333333333333,0.011104005330991725,0.00174498,0.00037232,0.00014706,0.08333333
0.174,0.08333333333333333,0.01123786428989516,0.00177426,0.00037893,0.0001458,0.08333333
0.175,0.08333333333333333,0.011371715591732955,0.00180463,0.00038591,0.00014353,0.08333333
0.176,0.08333333333333333,0.011505576034988448,0.00183816,0.00039364,0.00014201,0.08333333
0.177,0.08333333333333333,0.01163943653846851,0.00186171,0.00039879,0.00014026,0.08333333
0.178,0.08333333333333333,0.011773285802991112,0.0018793,0.00040254,0.00013702,0.08333333
0.179,0.08333333333333333,0.01190714051720202,0.00190895,0.00040928,0.00013537,0.08333333
0.18,0.08333333333333333,0.012041001674055793,0.00194027,0.00041647,0.00013342,0.08333333
0.181,0.08333333333333333,0.012174854050454357,0.001966,0.00042218,0.00013197,0.08333333
0.182,0.08333333333333333,0.012308712259170861,0.00199449,0.00042868,0.00012951,0.08333333
0.183,0.08333333333333333,0.012442569305796795,0.00201222,0.00043238,0.00012709,0.08333333
0.184,0.08333333333333333,0.012576422314900748,0.00204303,0.00043942,0.00012549,0.08333333
0.185,0.09090909090909091,0.012719307973462143,0.00203969,0.00044369,0.00019243,0.09090909
0.186,0.09090909090909091,0.012867025495665029,0.00206617,0.00044971,0.00018943,0.09090909
0.187,0.09090909090909091,0.013014739898048713,0.00209483,0.00045629,0.0001867,0.09090909
0.188,0.09090909090909091,0.013162461691274538,0.0021434,0.00046797,0.00018635,0.09090909
0.189,0.09090909090909091,0.013310175100298317,0.00215934,0.00047124,0.00018257,0.09090909
0.19,0.09090909090909091,0.01345789577417156,0.00219638,0.00047997,0.00018074,0.09090909
0.191,0.09090909090909091,0.013605610372468897,0.00222243,0.00048585,0.00017795,0.09090909
0.192,0.09090909090909091,0.013753329545412595,0.00226346,0.00049562,0.00017649,0.09090909
0.193,0.09090909090909091,0.013901045626957969,0.00229029,0.0005017,0.00017388,0.09090909
0.194,0.09090909090909091,0.014048764523634873,0.00232505,0.00050981,0.00017216,0.09090909
0.195,0.09090909090909091,0.014196479847937598,0.00234353,0.00051378,0.00016822,0.09090909
0.196,0.09090909090909091,0.014344195065069626,0.00237733,0.00052164,0.00016644,0.09090909
0.197,0.09090909090909091,0.014491913059439039,0.00240784,0.00052868,0.00016407,0.09090909
0.198,0.09090909090909091,0.014639629737019835,0.00243908,0.00053591,0.00016177,0.09090909
0.199,0.09090909090909091,0.014787351384325376,0.00247624,0.00054464,0.00016015,0.09090909
0.2,0.09090909090909091,0.01493506559363426,0.00249912,0.00054973,0.00015691,0.09090909
0.201,0.09090909090909091,0.015082782243806415,0.00253099,0.0005571,0.0001548,0.09090909
0.202,0.09090909090909091,0.015230502304303577,0.00255746,0.00056306,0.00015242,0.09090909
0.203,0.1,0.01538306834478971,0.00252681,0.00056254,0.00024362,0.1
0.204,0.1,0.015547881510804627,0.00255895,0.00057007,0.00024058,0.1
0.205,0.1,0.015712692366693835,0.00260087,0.00058019,0.00023856,0.1
0.206,0.1,0.015877504591136214,0.00263379,0.00058795,0.00023545,0.1
0.207,0.1,0.016042315939296156,0.00266758,0.00059594,0.00023242,0.1
0.208,0.1,0.016207127781711322,0.00271132,0.00060654,0.0002307,0.1
0.209,0.1,0.016371942365549032,0.00274423,0.00061429,0.00022759,0.1
0.21,0.1,0.01653675091774714,0.00278163,0.00062324,0.0002249,0.1
0.211,0.1,0.016701563966753676,0.00281713,0.00063166,0.00022228,0.1
0.212,0.1,0.016866375263121854,0.00285497,0.00064071,0.00021971,0.1
0.213,0.1,0.017031188994140575,0.00289406,0.00065011,0.00021711,0.1
0.214,0.1,0.01719600141466453,0.00292905,0.0006584,0.00021441,0.1
0.215,0.1,0.017360810959884586,0.00296388,0.00066668,0.00021136,0.1
0.216,0.1,0.01752562324055478,0.00300371,0.00067626,0.00020904,0.1
0.217,0.1,0.017690435801735266,0.00304412,0.000686,0.00020672,0.1
0.218,0.1,0.017855247034134186,0.00307414,0.00069297,0.00020345,0.1
0.219,0.1,0.018020061417508476,0.00311781,0.00070361,0.00020116,0.1
0.22,0.1,0.01818487149332912,0.00314391,0.00070949,0.00019794,0.1
0.221,0.1,0.01834968399478984,0.00318768,0.00072012,0.00019595,0.1
0.222,0.1,0.018514497426157853,0.00322177,0.00072818,0.00019296,0.1
0.223,0.1,0.018679308150461548,0.003259,0.00073704,0.00019072,0.1
0.224,0.1,0.01884412202532691,0.00329186,0.00074478,0.00018754,0.1
0.225,0.1,0.01900893184805408,0.00333258,0.00075467,0.00018476,0.1
0.226,0.1111111111111111,0.019193191527441554,0.00322913,0.00073806,0.0003112,0.11111111
0.227,0.1111111111111111,0.019379623701193685,0.00327645,0.00074982,0.00030855,0.11111111
0.228,0.1111111111111111,0.019566055980163935,0.00332108,0.00076086,0.00030551,0.11111111
0.229,0.1111111111111111,0.019752489001698348,0.0033672,0.00077232,0.00030254,0.11111111
0.23,0.1111111111111111,0.019938920922887217,0.00341006,0.00078286,0.00029944,0.11111111
0.231,0.1111111111111111,0.020125353341620928,0.00345323,0.00079351,0.0002962,0.11111111
0.232,0.1111111111111111,0.0203117859411712,0.00349846,0.00080476,0.00029289,0.11111111
0.233,0.1111111111111111,0.020498218962791748,0.00353969,0.00081489,0.00028936,0.11111111
0.234,0.1111111111111111,0.02068465060659333,0.00358511,0.00082611,0.00028665,0.11111111
0.235,0.1111111111111111,0.020871084186762916,0.00363454,0.0008385,0.0002838,0.11111111
0.236,0.1111111111111111,0.02105751566069306,0.00367344,0.00084794,0.00028041,0.11111111
