Rate,Weight,Time,ell,p,p_x,p_y,N
0.051,0.025028999999999996,0.0009024933244564383,0.000578521073,6.92788841e-05,5.586436465000001e-05,2.8089534399000005e-05,1.0
0.052,0.025507999999999996,0.0009378046937212837,0.000619761095,7.53163309e-05,6.047410825e-05,3.0344284725e-05,1.0
0.053,0.025986999999999996,0.0009737813048528941,0.000634735725,7.70302805e-05,6.196055685e-05,3.1150346432e-05,1.0
0.054,0.026465999999999996,0.0010104734069131976,0.000658636208,8.03728691e-05,6.449392765e-05,3.2377374435e-05,1.0
0.055,0.026944999999999997,0.0010479341722810572,0.000671330526,8.14943054e-05,6.57819885e-05,3.3215161297e-05,1.0
0.056,0.027423999999999997,0.0010859149154707612,0.000713836759,8.79010804e-05,7.037940689999999e-05,3.5345534494e-05,1.0
0.057,0.027902999999999997,0.0011245391292664083,0.000761449331,9.43805539e-05,7.564447615e-05,3.8064142256999996e-05,1.0
0.058,0.028382,0.001163908163535907,0.000792569845,9.87687928e-05,7.89732625e-05,3.9677570319e-05,1.0
0.059,0.028860999999999998,0.001203963527308912,0.000825166289,0.000103001755,8.265120060000001e-05,4.1714625409000006e-05,1.0
0.06,0.029339999999999998,0.001244829991922668,0.000813845885,0.000101274372,8.10412208e-05,4.0716809097e-05,1.0
0.061,0.029793999999999998,0.0012861411451840948,0.00088068463,0.000111177464,8.85829807e-05,4.4517469709999995e-05,1.0
0.062,0.030247999999999997,0.0013280350313850185,0.000922495419,0.000117035156,9.326271529999999e-05,4.6860957698999994e-05,1.0
0.063,0.030702,0.0013707744193118567,0.000944058974,0.000119934131,9.55136717e-05,4.7970690073e-05,1.0
0.064,0.031156,0.0014143522982044121,0.000946281396,0.000119718528,9.55491716e-05,4.8053858351e-05,1.0
0.065,0.03161,0.0014582143041394486,0.00105090893,0.000135485947,0.0001076454086,5.4121027223000003e-05,1.0
0.066,0.032064,0.0015029875365769716,0.00107286425,0.000137885826,0.0001100720373,5.5608107794000004e-05,1.0
0.067,0.032518000000000005,0.0015483491558383904,0.00109712626,0.000141595401,0.0001124646374,5.6536427464e-05,1.0
0.068,0.032972,0.0015943971996493882,0.00118666733,0.000155390582,0.000123128261,6.1942300426e-05,1.0
0.069,0.03342600000000001,0.001641108651323059,0.00118371257,0.0001544329,0.00012244925770000002,6.1613715528e-05,1.0
0.07,0.03388000000000001,0.0016885930346590694,0.0012674062,0.000166328405,0.0001320500871,6.6655078626e-05,1.0
0.071,0.034388,0.0017366123254227719,0.00124237643,0.000162865792,0.0001289224966,6.4781465766e-05,1.0
0.072,0.034896,0.0017856696095804574,0.00137984018,0.000182723553,0.0001448965455,7.3246986424e-05,1.0
0.073,0.035404,0.0018348102350281897,0.00138498664,0.000184948236,0.0001457137611,7.314321904e-05,1.0
0.074,0.035912,0.0018848762304898813,0.00141046519,0.000188121411,0.0001484219055,7.462670754199999e-05,1.0
