Rate,Weight,Time
0.167,0.08166300000000001,0.010509032025398747
0.168,0.082152,0.010638193267093983
0.169,0.082641,0.010768180249959486
0.17,0.08313000000000001,0.01089899367724319
0.171,0.08360100000000001,0.011030638660112058
0.172,0.08407200000000001,0.01116311194057205
0.173,0.08454300000000001,0.011296414251138509
0.174,0.085014,0.011430546325469717
0.175,0.085485,0.011565508898369438
0.176,0.085956,0.01170130270578951
0.177,0.086427,0.011837928484832214
0.178,0.086898,0.011975386973752888
0.179,0.087369,0.012113678911962439
0.18,0.08784,0.012252805040029862
0.181,0.088309,0.012392766274457487
0.182,0.088778,0.012533563130802458
0.183,0.089247,0.012675196355990013
0.184,0.089716,0.012817666698122785
0.185,0.090185,0.012960974906483258
0.186,0.090654,0.013105121731536561
0.187,0.091123,0.013250107924932905
0.188,0.091592,0.013395934239510346
0.189,0.092061,0.013542601429297363
0.19,0.09253,0.013690110249515443
0.191,0.092997,0.013838461338996324
0.192,0.09346399999999999,0.013987655515373901
0.193,0.093931,0.014137693540379328
0.194,0.094398,0.014288576176956775
0.195,0.09486499999999999,0.014440304189265956
0.196,0.095332,0.014592878342685132
0.197,0.095799,0.014746299403813517
0.198,0.09626599999999999,0.014900568140474224
0.199,0.09673299999999999,0.015055685321717003
0.2,0.0972,0.015211651717820815
0.201,0.097686,0.01536847162054249
0.202,0.098172,0.015526141659712564
0.203,0.098658,0.015684662580152876
0.204,0.09914399999999998,0.015844035127835582
0.205,0.09963,0.016004260049885616
0.206,0.100116,0.01616533809458314
0.207,0.100602,0.01632727001136614
0.208,0.101088,0.016490056550832858
0.209,0.101574,0.016653698464744338
0.21,0.10206,0.016818196506026926
0.211,0.10252399999999999,0.016983557742457165
0.212,0.102988,0.017149777366124715
0.213,0.10345199999999999,0.017316856167858306
0.214,0.103916,0.017484794939769285
0.215,0.10437999999999999,0.017653594475254657
0.216,0.10484399999999999,0.017823255568999836
0.217,0.10530799999999998,0.01799377901698172
0.218,0.10577199999999999,0.018165165616471555
